,tweet_id,favorites,retweets,user_followers,user_favourites,date_time
71,878604707211726852,27655,6275,8898583,145976,2017-06-24 13:24:20+00:00
72,878404777348136964,0,1131,8898583,145976,2017-06-24 00:09:53+00:00
73,878316110768087041,0,5896,8898583,145976,2017-06-23 18:17:33+00:00
74,878281511006478336,7106,1131,8898583,145976,2017-06-23 16:00:04+00:00
75,878057613040115712,38760,6046,8898583,145976,2017-06-23 01:10:23+00:00
76,877736472329191424,72796,16812,8898583,145976,2017-06-22 03:54:17+00:00
77,877611172832227328,0,71,8898583,145976,2017-06-21 19:36:23+00:00
78,877556246731214848,20895,3391,8898583,145976,2017-06-21 15:58:08+00:00
79,877316821321428993,25244,4632,8898583,145976,2017-06-21 00:06:44+00:00
80,877201837425926144,24957,4947,8898583,145976,2017-06-20 16:29:50+00:00
81,876838120628539392,19054,2965,8898583,145976,2017-06-19 16:24:33+00:00
82,876537666061221889,21876,4185,8898583,145976,2017-06-18 20:30:39+00:00
83,876484053909872640,17309,2105,8898583,145976,2017-06-18 16:57:37+00:00
84,876120275196170240,25805,4150,8898583,145976,2017-06-17 16:52:05+00:00
85,875747767867523072,23138,3805,8898583,145976,2017-06-16 16:11:53+00:00
86,875144289856114688,20235,4376,8898583,145976,2017-06-15 00:13:52+00:00
87,875097192612077568,25324,5426,8898583,145976,2017-06-14 21:06:43+00:00
88,875021211251597312,23535,4201,8898583,145976,2017-06-14 16:04:48+00:00
89,874680097055178752,25669,4136,8898583,145976,2017-06-13 17:29:20+00:00
90,874434818259525634,0,12958,8898583,145976,2017-06-13 01:14:41+00:00
91,874296783580663808,24025,3681,8898583,145976,2017-06-12 16:06:11+00:00
92,874057562936811520,20975,3556,8898583,145976,2017-06-12 00:15:36+00:00
93,874012996292530176,31557,9112,8898583,145976,2017-06-11 21:18:31+00:00
94,873580283840344065,22365,3524,8898583,145976,2017-06-10 16:39:04+00:00
95,873337748698140672,0,1412,8898583,145976,2017-06-10 00:35:19+00:00
96,873213775632977920,6611,1412,8898583,145976,2017-06-09 16:22:42+00:00
97,872967104147763200,25172,4843,8898583,145976,2017-06-09 00:02:31+00:00
98,872820683541237760,13624,3331,8898583,145976,2017-06-08 14:20:41+00:00
99,872620804844003328,19164,3259,8898583,145976,2017-06-08 01:06:27+00:00
100,872486979161796608,37711,8123,8898583,145976,2017-06-07 16:14:40+00:00
101,872122724285648897,31665,7262,8898583,145976,2017-06-06 16:07:15+00:00
102,871879754684805121,34730,9799,8898583,145976,2017-06-06 00:01:46+00:00
103,871762521631449091,18708,3131,8898583,145976,2017-06-05 16:15:56+00:00
104,871515927908634625,18703,3123,8898583,145976,2017-06-04 23:56:03+00:00
105,871166179821445120,0,5131,8898583,145976,2017-06-04 00:46:17+00:00
106,871102520638267392,19376,4959,8898583,145976,2017-06-03 20:33:19+00:00
107,871032628920680449,21077,3430,8898583,145976,2017-06-03 15:55:36+00:00
108,870804317367881728,31213,5568,8898583,145976,2017-06-03 00:48:22+00:00
109,870726314365509632,113,3,8898583,145976,2017-06-02 19:38:25+00:00
110,870656317836468226,11414,2350,8898583,145976,2017-06-02 15:00:16+00:00
111,870374049280663552,77098,23968,8898583,145976,2017-06-01 20:18:38+00:00
